Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Starting Balance,Credit Max
99,Daniel,V,25-Aug-06,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,1098,1187.71,2098,2405.55,3098,8400.0,-1052.86
98,Daniel,U,27-May-88,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,1097,417.42,2097,840.66,3097,6171.0,-978.33
64,Laura,Blanco,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,5519.10,2063,4347.22,3063,6487.0,-1050.73
97,Daniel,T,22-Oct-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5060,1096,894.63,2096,4884.23,3096,5066.0,-828.59
38,Alex,Avila,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,4125.01,2037,516.33,3037,3484.0,-1827.58
96,Daniel,S,8-Jan-91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5059,1095,1197.47,2095,2944.12,3095,7282.0,-718.69
95,Daniel,R,20-Apr-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,1094,745.03,2094,1288.97,3094,9008.0,-1040.57
94,Daniel,Q,7-Feb-71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,1093,498.13,2093,205.32,3093,4002.0,-673.84
93,Daniel,P,16-Feb-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5056,1092,1069.19,2092,3519.67,3092,7626.0,-1963.63
37,Alberto,Miranda,5-Oct-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1036,4523.05,2036,3710.89,3036,3649.0,-150.60
46,Christopher,Reyes,4-May-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,1045,5363.77,2045,4039.37,3045,9283.0,-444.40
92,Daniel,O,16-Sep-03,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,1091,1710.28,2091,2761.08,3091,7732.0,-0.10
91,Daniel,N,4-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,1090,364.34,2090,2226.15,3090,4837.0,-1623.03
