First Name,Last Name,Identification Number,Phone Number,Checking Account Number,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance,Date of Birth,Checking Starting Balance,Address
Daniel,A,79,(915) 747-5042,1078,2078,3364.79,3078,7985,-786.93,5-Mar-39,857.56,"500 W. University Ave, El Paso, TX 79968"
Derek,Aguirre,49,(915) 747-5012,1048,2048,3352.49,3048,8899,-58.57,5-May-41,1845.56,"500 W. University Ave, El Paso, TX 79968"
Jafar,Aladdin,18,(714) 781-4636,1017,2017,2220.54,3017,3029,-406.48,20-Jan-83,518.07,"1313 Disneyland Dr, Anaheim, CA 92802"
Nathan,Aun,76,(915) 747-5039,1075,2075,132.29,3075,8789,-1240.71,6-Aug-94,1352.3,"500 W. University Ave, El Paso, TX 79968"
Alex,Avila,38,(915) 747-5001,1037,2037,516.33,3037,3484,-1827.58,19-Oct-65,85.09,"500 W. University Ave, El Paso, TX 79968"
Daniel,B,80,(915) 747-5043,1079,2079,2413.6,3079,8357,-1911.51,25-Dec-18,362.4,"500 W. University Ave, El Paso, TX 79968"
Gavin,Baechle,54,(915) 747-5017,1053,2053,4768.87,3053,5352,-886.85,16-Sep-58,1734.37,"500 W. University Ave, El Paso, TX 79968"
David,Baptiste,48,(915) 747-5011,1047,2047,3271.72,3047,7772,-281.86,5-May-98,1076.98,"500 W. University Ave, El Paso, TX 79968"
Alfonso,Beltran,39,(915) 747-5002,1038,2038,3447.36,3038,3177,-866.29,13-Mar-01,474.39,"500 W. University Ave, El Paso, TX 79968"
Dafne,Bencomo,47,(915) 747-5010,1046,2046,1812.87,3046,8798,-1863.49,12-Jul-72,519.88,"500 W. University Ave, El Paso, TX 79968"
Laura,Blanco,64,(915) 747-5027,1063,2063,4347.22,3063,6487,-1050.73,7-Aug-04,1506.74,"500 W. University Ave, El Paso, TX 79968"
Brandon,Bustamante,44,(915) 747-5007,1043,2043,3764.74,3043,6698,-1452.54,17-Oct-53,355.39,"500 W. University Ave, El Paso, TX 79968"
Daniel,C,81,(915) 747-5044,1080,2080,342.74,3080,9400,-505.4,25-May-47,909.74,"500 W. University Ave, El Paso, TX 79968"
Cesar,Cabrera,45,(915) 747-5008,1044,2044,1685.66,3044,9182,-1906.17,22-Jun-89,1806.19,"500 W. University Ave, El Paso, TX 79968"
Roberto,Carrasco,73,(915) 747-5036,1072,2072,2408.91,3072,9319,-160,21-Oct-02,1152.39,"500 W. University Ave, El Paso, TX 79968"
Lidice,Castro Jimenez,66,(915) 747-5029,1065,2065,655.67,3065,4080,-1930.17,27-Jan-84,1942.67,"500 W. University Ave, El Paso, TX 79968"
Alyssandra,Cordero,41,(915) 747-5004,1040,2040,1375.06,3040,5166,-1725.64,30-Aug-32,1169.49,"500 W. University Ave, El Paso, TX 79968"
Daniel,D,82,(915) 747-5045,1081,2081,3235.49,3081,9172,-883.24,7-Oct-01,731.6,"500 W. University Ave, El Paso, TX 79968"
Minh,Dang,70,(915) 747-5033,1069,2069,1691.78,3069,5351,-1966.94,21-Dec-09,623.42,"500 W. University Ave, El Paso, TX 79968"
Cruella,De Vil,22,(714) 781-4636,1021,2021,4261.53,3021,7949,-319.71,10-Mar-62,1132.61,"1313 Disneyland Dr, Anaheim, CA 92802"
Oscar,Decena,71,(915) 747-5034,1070,2070,529.74,3070,8674,-689.71,14-Nov-07,1450.22,"500 W. University Ave, El Paso, TX 79968"
Goofy,Disney,4,(714) 781-4636,1003,2003,884.26,3003,8647,-141.39,5-Mar-51,1456.69,"1313 Disneyland Dr, Anaheim, CA 92802"
Pluto,Disney,5,(714) 781-4636,1004,2004,1622.73,3004,5415,-1289.68,20-Mar-37,1549.67,"1313 Disneyland Dr, Anaheim, CA 92802"
Chip,Disney,6,(714) 781-4636,1005,2005,3687.14,3005,8089,-1451.7,25-Aug-05,32.84,"1313 Disneyland Dr, Anaheim, CA 92802"
Dale,Disney,7,(714) 781-4636,1006,2006,4091.61,3006,3219,-53.21,19-Aug-12,894.1,"1313 Disneyland Dr, Anaheim, CA 92802"
Cinderella,Disney,8,(714) 781-4636,1007,2007,2977.94,3007,7415,-4.16,3-Mar-47,915.54,"1313 Disneyland Dr, Anaheim, CA 92802"
Ariel,Disney,9,(714) 781-4636,1008,2008,729.5,3008,7822,-1810.55,15-Apr-70,1581.97,"1313 Disneyland Dr, Anaheim, CA 92802"
Jasmine,Disney,10,(714) 781-4636,1009,2009,1087.1,3009,9736,-1797.38,17-Nov-91,633.94,"1313 Disneyland Dr, Anaheim, CA 92802"
Aladdin,Disney,11,(714) 781-4636,1010,2010,3431.15,3010,7398,-1989.22,11-Oct-28,140.78,"1313 Disneyland Dr, Anaheim, CA 92802"
Simba,Disney,12,(714) 781-4636,1011,2011,373.47,3011,4931,-1220.11,24-Oct-12,1336.79,"1313 Disneyland Dr, Anaheim, CA 92802"
Mufassa,Disney,13,(714) 781-4636,1012,2012,3846.05,3012,7463,-1112.18,19-Jan-09,148.68,"1313 Disneyland Dr, Anaheim, CA 92802"
Aurora,Disney,14,(714) 781-4636,1013,2013,4806.74,3013,8372,-169.44,12-Jun-60,343.45,"1313 Disneyland Dr, Anaheim, CA 92802"
Woody,Disney,16,(714) 781-4636,1015,2015,2429.23,3015,7932,-1005.79,2-Apr-95,258.06,"1313 Disneyland Dr, Anaheim, CA 92802"
Beast,Disney,20,(714) 781-4636,1019,2019,4398.81,3019,7687,-160.2,16-Aug-98,1849.03,"1313 Disneyland Dr, Anaheim, CA 92802"
Belle,Disney,21,(714) 781-4636,1020,2020,2434.75,3020,8396,-1024.19,5-Oct-54,517.81,"1313 Disneyland Dr, Anaheim, CA 92802"
Gaston,Disney,25,(714) 781-4636,1024,2024,994.47,3024,3397,-1264.11,11-Aug-09,168.24,"1313 Disneyland Dr, Anaheim, CA 92802"
Kaa,Disney,28,(714) 781-4636,1027,2027,423.8,3027,3237,-864.26,22-Feb-69,928.76,"1313 Disneyland Dr, Anaheim, CA 92802"
Pinocchio,Disney,30,(714) 781-4636,1029,2029,1412.45,3029,9149,-14.76,20-Mar-08,1280.77,"1313 Disneyland Dr, Anaheim, CA 92802"
Quasimodo,Disney,32,(714) 781-4636,1031,2031,2302.79,3031,5023,-1454.15,17-Sep-71,483.57,"1313 Disneyland Dr, Anaheim, CA 92802"
Hercules,Disney,33,(714) 781-4636,1032,2032,1388.27,3032,5094,-1855.19,30-Jun-66,1270.03,"1313 Disneyland Dr, Anaheim, CA 92802"
Mulan,Disney,34,(714) 781-4636,1033,2033,1216.15,3033,7881,-397.68,14-Oct-79,1774.26,"1313 Disneyland Dr, Anaheim, CA 92802"
Lilo,Disney,35,(714) 781-4636,1034,2034,1942.89,3034,7722,-1715.37,19-Jul-44,1763.47,"1313 Disneyland Dr, Anaheim, CA 92802"
Stitch,Disney,36,(714) 781-4636,1035,2035,4919.61,3035,8172,-16.87,3-Feb-28,387.32,"1313 Disneyland Dr, Anaheim, CA 92802"
Donald,Duck,2,(714) 781-4636,1001,2001,3582.37,3001,8147,-1513.57,7-Apr-94,1928.58,"1313 Disneyland Dr, Anaheim, CA 92802"
Daniel,E,83,(915) 747-5046,1082,2082,3689.98,3082,7011,-269.32,17-Jun-72,190.25,"500 W. University Ave, El Paso, TX 79968"
Prince,Eric,31,(714) 781-4636,1030,2030,4505,3030,7019,-1413.12,10-Feb-05,1250.24,"1313 Disneyland Dr, Anaheim, CA 92802"
Robert,Evans,72,(915) 747-5035,1071,2071,2907.59,3071,5198,-329.08,8-Aug-55,1223.55,"500 W. University Ave, El Paso, TX 79968"
Daniel,F,84,(915) 747-5047,1083,2083,1020.81,3083,7196,-814.22,24-Mar-86,214.25,"500 W. University Ave, El Paso, TX 79968"
Daniel,G,85,(915) 747-5048,1084,2084,3788.92,3084,8439,-1101.55,18-Nov-77,1930.6,"500 W. University Ave, El Paso, TX 79968"
Eduardo,Garcia,50,(915) 747-5013,1049,2049,1243.48,3049,6262,-862.06,2-Jun-92,1243.42,"500 W. University Ave, El Paso, TX 79968"
Hernan,Garcia,57,(915) 747-5020,1056,2056,3011.8,3056,8216,-990.67,30-Mar-42,135.23,"500 W. University Ave, El Paso, TX 79968"
Judith,Garcia,63,(915) 747-5026,1062,2062,3508.77,3062,5693,-444.56,7-Mar-97,1740.54,"500 W. University Ave, El Paso, TX 79968"
Juan,Gutierrez,61,(915) 747-5024,1060,2060,3227.73,3060,9566,-1581.21,9-Jan-89,526.23,"500 W. University Ave, El Paso, TX 79968"
Daniel,H,86,(915) 747-5049,1085,2085,3465.11,3085,9853,-1977.56,2-May-37,1326.34,"500 W. University Ave, El Paso, TX 79968"
Sofia,Hernandez,74,(915) 747-5037,1073,2073,740.81,3073,9291,-1721.04,20-Apr-52,1515.79,"500 W. University Ave, El Paso, TX 79968"
Captaiin,Hook,27,(714) 781-4636,1026,2026,3295.28,3026,9203,-1813.88,12-May-01,369.27,"1313 Disneyland Dr, Anaheim, CA 92802"
Daniel,I,87,(915) 747-5050,1086,2086,2348.02,3086,7232,-1927.99,23-Dec-35,1927.47,"500 W. University Ave, El Paso, TX 79968"
Daniel,J,88,(915) 747-5051,1087,2087,2813.64,3087,8702,-986.39,20-Oct-43,1924.71,"500 W. University Ave, El Paso, TX 79968"
Anthony,Jasso,42,(915) 747-5005,1041,2041,547.41,3041,3753,-530.31,8-Dec-44,661.74,"500 W. University Ave, El Paso, TX 79968"
Daniel,K,89,(915) 747-5052,1088,2088,3471.09,3088,6307,-88.26,8-May-73,1082.73,"500 W. University Ave, El Paso, TX 79968"
Shere,Khan,26,(714) 781-4636,1025,2025,1735.62,3025,7035,-115.92,21-Nov-91,688.77,"1313 Disneyland Dr, Anaheim, CA 92802"
Simba,King,24,(714) 781-4636,1023,2023,1684.46,3023,8835,-1863.46,21-Dec-35,1472.05,"1313 Disneyland Dr, Anaheim, CA 92802"
Daniel,L,90,(915) 747-5053,1089,2089,180.84,3089,9320,-777.42,19-Jul-98,585.99,"500 W. University Ave, El Paso, TX 79968"
Laurence,Labayen,65,(915) 747-5028,1064,2064,4572.26,3064,5079,-1064.52,11-Mar-10,1079.13,"500 W. University Ave, El Paso, TX 79968"
Isaiah,Landin,58,(915) 747-5021,1057,2057,1600.38,3057,6858,-407.11,28-Feb-28,1816.52,"500 W. University Ave, El Paso, TX 79968"
Buzz,Lightyear,17,(714) 781-4636,1016,2016,33.53,3016,3624,-1215.99,12-Mar-63,629.61,"1313 Disneyland Dr, Anaheim, CA 92802"
Scar,Lion,23,(714) 781-4636,1022,2022,4326.32,3022,4563,-140.99,29-Jul-29,941.51,"1313 Disneyland Dr, Anaheim, CA 92802"
Federico,Marin,53,(915) 747-5016,1052,2052,2348.86,3052,3977,-267.18,18-Jan-09,1917.27,"500 W. University Ave, El Paso, TX 79968"
Joseph,Medina - Sandoval,60,(915) 747-5023,1059,2059,3790.64,3059,8612,-678.52,18-Sep-36,903.51,"500 W. University Ave, El Paso, TX 79968"
Daniel,Mejia,78,(915) 747-5041,1077,2077,2051.62,3077,7600,-1231.96,29-Jan-36,1887.12,"500 W. University Ave, El Paso, TX 79968"
Manuel,Melendez Lujan,67,(915) 747-5030,1066,2066,4334.35,3066,7545,-1003.98,18-Mar-36,1311.35,"500 W. University Ave, El Paso, TX 79968"
Ursela,Mermaid,19,(714) 781-4636,1018,2018,1503.63,3018,6570,-1147.68,30-Jun-00,1333.17,"1313 Disneyland Dr, Anaheim, CA 92802"
Alberto,Miranda,37,(915) 747-5000,1036,2036,3710.89,3036,3649,-150.6,5-Oct-38,474.59,"500 W. University Ave, El Paso, TX 79968"
Ervey,Montes,51,(915) 747-5014,1050,2050,1304.98,3050,5439,-677.71,5-Mar-59,1584.85,"500 W. University Ave, El Paso, TX 79968"
Mickey,Mouse,1,(714) 781-4636,1000,2000,4479.46,3000,9151,-1653.84,25-Apr-92,403.12,"1313 Disneyland Dr, Anaheim, CA 92802"
Minnie,Mouse,3,(714) 781-4636,1002,2002,327.99,3002,3442,-239.31,3-Nov-94,1894.16,"1313 Disneyland Dr, Anaheim, CA 92802"
Daniel,N,91,(915) 747-5054,1090,2090,2226.15,3090,4837,-1623.03,4-Mar-59,364.34,"500 W. University Ave, El Paso, TX 79968"
Grecia,Navarrete,56,(915) 747-5019,1055,2055,2738.6,3055,9764,-305.52,1-Aug-60,1622.04,"500 W. University Ave, El Paso, TX 79968"
Daniel,O,92,(915) 747-5055,1091,2091,2761.08,3091,7732,-0.1,16-Sep-03,1710.28,"500 W. University Ave, El Paso, TX 79968"
Gildardo,Orea,55,(915) 747-5018,1054,2054,179.25,3054,4072,-1514.01,13-Mar-51,291.85,"500 W. University Ave, El Paso, TX 79968"
Mauricio,Ornelas-Gutierrez,69,(915) 747-5032,1068,2068,1218.43,3068,6395,-1129.63,7-Aug-36,192.14,"500 W. University Ave, El Paso, TX 79968"
Daniel,P,93,(915) 747-5056,1092,2092,3519.67,3092,7626,-1963.63,16-Feb-03,1069.19,"500 W. University Ave, El Paso, TX 79968"
Peter,Pan,15,(714) 781-4636,1014,2014,2252.52,3014,5699,-1137.78,29-May-87,41.62,"1313 Disneyland Dr, Anaheim, CA 92802"
Evil,Queen,29,(714) 781-4636,1028,2028,4844.83,3028,7647,-367.09,19-Dec-42,238.09,"1313 Disneyland Dr, Anaheim, CA 92802"
Daniel,R,95,(915) 747-5058,1094,2094,1288.97,3094,9008,-1040.57,20-Apr-94,745.03,"500 W. University Ave, El Paso, TX 79968"
Juan,Rabelo,62,(915) 747-5025,1061,2061,3607.48,3061,3109,-674.27,29-Apr-52,1851.26,"500 W. University Ave, El Paso, TX 79968"
Khandoker,Rahad,77,(915) 747-5040,1076,2076,1902.09,3076,4822,-157.39,15-Jun-57,220.57,"500 W. University Ave, El Paso, TX 79968"
Estevan,Ramos,52,(915) 747-5015,1051,2051,2939.07,3051,6176,-860.87,15-Dec-36,760.91,"500 W. University Ave, El Paso, TX 79968"
Christopher,Reyes,46,(915) 747-5009,1045,2045,4039.37,3045,9283,-444.4,4-May-89,1330.23,"500 W. University Ave, El Paso, TX 79968"
Alfredo,Rodriguez,40,(915) 747-5003,1039,2039,3443.94,3039,4766,-1734.35,14-Feb-02,1772.98,"500 W. University Ave, El Paso, TX 79968"
Jose,Rodriguez Ortega,59,(915) 747-5022,1058,2058,789.31,3058,8718,-405.22,8-Sep-52,398.46,"500 W. University Ave, El Paso, TX 79968"
Manuel,Ruvalcaba,68,(915) 747-5031,1067,2067,1038.13,3067,5787,-326.57,30-Dec-42,870.6,"500 W. University Ave, El Paso, TX 79968"
Daniel,S,96,(915) 747-5059,1095,2095,2944.12,3095,7282,-718.69,8-Jan-91,1197.47,"500 W. University Ave, El Paso, TX 79968"
Daniel,T,97,(915) 747-5060,1096,2096,4884.23,3096,5066,-828.59,22-Oct-92,894.63,"500 W. University Ave, El Paso, TX 79968"
Yulianna,Torres,75,(915) 747-5038,1074,2074,3391.57,3074,5431,-1545.62,20-Aug-92,1035.19,"500 W. University Ave, El Paso, TX 79968"
Daniel,U,98,(915) 747-5061,1097,2097,840.66,3097,6171,-978.33,27-May-88,417.42,"500 W. University Ave, El Paso, TX 79968"
Daniel,V,99,(915) 747-5062,1098,2098,2405.55,3098,8400,-1052.86,25-Aug-06,1187.71,"500 W. University Ave, El Paso, TX 79968"
Daniel,W,100,(915) 747-5063,1099,2099,261.75,3099,7958,-470.23,14-Jun-96,1239.64,"500 W. University Ave, El Paso, TX 79968"
Daniel,X,101,(915) 747-5064,1100,2100,4668.29,3100,5540,-817.67,25-Nov-84,122.74,"500 W. University Ave, El Paso, TX 79968"
Daniel,Y,102,(915) 747-5065,1101,2101,3810.87,3101,6534,-199.91,12-Mar-84,738.93,"500 W. University Ave, El Paso, TX 79968"
